nose length,right_ear length,left_ear length,weight
0.715170618,0.766321999,0.78129036,0
0.700987771,0.7608827,0.747595615,0
0.714799677,0.775310699,0.750488404,0
0.732183182,0.790903594,0.769644634,0
0.740807835,0.788600636,0.774904776,0
0.768335599,0.814932905,0.777450693,0
0.766789825,0.813774188,0.770251522,0
0.731543919,0.786875041,0.752920928,0
0.71020848,0.770059378,0.738751064,0
0.695112953,0.76151063,0.729917038,0
0.704736155,0.776998332,0.742626673,0
0.701220017,0.776432008,0.739454092,0
0.723568525,0.789345363,0.756831694,0
0.721780272,0.790535028,0.751289735,0
0.716706216,0.788830759,0.748113709,0
0.725052202,0.788499742,0.750401387,0
0.707862628,0.774638801,0.739663162,0
0.705270193,0.772715905,0.738269643,0
0.690525927,0.765074004,0.730169139,0
0.690888077,0.765294449,0.726727506,0
0.695226799,0.770715611,0.730001382,0
0.700188485,0.776938409,0.734477813,0
0.7052408,0.777348525,0.735291969,0
0.711530762,0.782451485,0.736232132,0
0.717790303,0.788764311,0.734697111,0
0.725043965,0.793553465,0.736728571,0
0.729114545,0.794772698,0.742495008,0
0.725805472,0.789098743,0.739884315,0
0.710059123,0.780866985,0.729791861,0
0.712039093,0.784311336,0.734419924,0
0.708685407,0.78335505,0.734913357,0
0.706572142,0.782920673,0.734520651,0
0.683201989,0.762384048,0.718318088,0
0.675594396,0.754003819,0.715205131,0
0.681068471,0.760132021,0.72100219,0
0.684456264,0.764438609,0.728878537,0
0.688879073,0.768416458,0.734219743,0
0.690565138,0.771545609,0.734719263,0
0.70259493,0.777469016,0.745116699,0
0.679647724,0.763070821,0.737319448,0
0.676152184,0.760547786,0.736856423,0
0.676705208,0.760120406,0.739449584,0
0.680808688,0.759201949,0.741227789,0
0.681445279,0.760772006,0.741844855,0
0.686758631,0.766353053,0.748338109,0
0.694027184,0.769989938,0.747978406,0
0.687226497,0.7644496,0.745486503,0
0.679579708,0.760689169,0.73894423,0
0.715525501,0.791166926,0.754866634,0
0.720829398,0.800303979,0.757057981,0
0.719968141,0.799505833,0.753286791,0
0.713513926,0.798217769,0.750347859,0
0.704936062,0.789318849,0.744901366,0
0.702945269,0.786184055,0.746146582,0
0.705925183,0.786469065,0.751154225,0
0.707365947,0.786081549,0.751726569,0
0.710852352,0.788856656,0.755201241,0
0.710778631,0.791044889,0.75503574,0
0.711000467,0.791672885,0.753578707,0
0.713728792,0.794460851,0.753989704,0
0.722312053,0.798965055,0.758398119,0
0.73263797,0.804571908,0.761943187,0
0.729917584,0.800825665,0.762188853,0
0.729565125,0.80333024,0.764883765,0
0.732871946,0.806006186,0.767571012,0
0.732915157,0.805800139,0.768624764,0
0.73227015,0.805388113,0.76725642,0
0.730669607,0.805144076,0.766534355,0
0.732191451,0.805276192,0.766848128,0
0.7328771,0.805659255,0.767663369,0
0.731312054,0.805704291,0.765723823,0
0.733097068,0.807191915,0.763838612,0
0.73177581,0.805920429,0.764484604,0
0.727269912,0.801186936,0.764600822,0
0.723265114,0.795488097,0.759540648,0
0.721235256,0.792013229,0.758936449,0
0.722019152,0.793288985,0.759480371,0
0.712602957,0.783027049,0.749928923,0
0.730014586,0.797058339,0.755467724,0
0.741096452,0.805033645,0.760248257,0
0.737367608,0.799790917,0.757689997,0
0.729923568,0.795838395,0.755343583,0
0.727737079,0.798254837,0.763763584,0
0.723663081,0.797030181,0.765705717,0
0.715807215,0.793582275,0.763163362,0
